dapp,block,addresses
2020-04-lendfme,9899724,0x0eEe3E3828A45f7601D5F54bF49bB01d1A9dF5ea;0x3212b29E33587A00FB1C83346f5dBFA69A458923
2020-04-uniswap-erc777,9894152,0xFFcf45b540e6C9F094Ae656D2e34aD11cdfdb187;0x3212b29E33587A00FB1C83346f5dBFA69A458923
2020-06-balancer,10355806,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0xa7DE087329BFcda5639247F96140f9DAbe3DeED1;0x0e511Aa1a137AaD267dfe3a6bFCa0b856C1a3682
2020-06-bancor,10307563,0x5f58058C0eC971492166763c8C22632B583F667f;0x28dee01D53FED0Edf5f6E310BF8Ef9311513Ae40
2020-08-opyn,10592516,0x951D51bAeFb72319d9FBE941E1615938d89ABfe2;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2020-09-bzx,10852715,0xB983E01458529665007fF7E0CDdeCDB74B967Eb6
2020-10-harvestfinance,11129473,0x45F783CCE6B7FF23B2ab2D70e416cdb7D6055f51;0xdAC17F958D2ee523a2206206994597C13D831ec7;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE
2020-11-pickle,11303122,0x6847259b2B3A4c17e7c43C54409810aF48bA5210;0x6186E99D9CFb05E1Fdf1b442178806E81da21dD8;0x6949Bb624E8e8A90F87cD2058139fcd77D2F3F87;0xCd892a97951d46615484359355e3Ed88131f829D;0x6B175474E89094C44Da98b954EedeAC495271d0F;0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643
2020-12-cover,11542309,0x59686E01Aa841f622a43688153062C2f24F8fDed;0xE0B94a7BB45dD905c79bB1992C9879f40F1CAeD5;0x5D8d9F5b96f4438195BE9b99eee6118Ed4304286
2021-02-yearn_ydai,11792183,0x6B175474E89094C44Da98b954EedeAC495271d0F;0xdAC17F958D2ee523a2206206994597C13D831ec7;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490;0xACd43E627e64355f1861cEC6d3a6688B31a6F952;0xbEbc44782C7dB0a1A60Cb6fe97d0b483032FF1C7
2021-03-dodo_flashload,12000000,0x051EBD717311350f1684f89335bed4ABd083a2b6;0x95C4F5b83aA70810D4f142d58e5F7242Bd891CB0;0xdAC17F958D2ee523a2206206994597C13D831ec7
2021-03-paid, 11979839,0x8c8687fC965593DFb2F0b4EAeFD55E9D8df348df
2021-05-raricapital, 12394009, 0x67B66C99D3Eb37Fa76Aa3Ed1ff33E8e39F0b9c7A;0x2f755e8980f0c2E81681D82CCCd1a4BD5b4D5D46
2021-06-88mph, 12516705, 0xF0b7DE03134857391d8D43Ed48e20EDF21461097
2021-07-chainswap, 12751487, 0x7fe68FC06e1A870DcbeE0acAe8720396DC12FC86;
2021-08-cream,13125070,0xD06527D5e56A3495252A528C4987003b712860eE;0x2Db6c82CE72C8d7D770ba1b5F5Ed0b6E075066d6
2021-08-polynetwork, 12996658, 0x838bf9E95CB12Dd76a54C9f9D2E3082EAF928270;0xcF2afe102057bA5c16f899271045a0A37fCb10f2
2021-08-daomaker, 13155320, 0x2FD602Ed1F8cb6DEaBA9BEDd560ffE772eb85940
2021-09-nimbus, 13225516, 0xc0A6B8c534FaD86dF8FA1AbB17084A70F86EDDc1;0xdAC17F958D2ee523a2206206994597C13D831ec7
2021-09-nowswap, 13225516, 0xA0Ff0e694275023f4986dC3CA12A6eb5D6056C62;0xEB58343b36C7528F23CAAe63a150240241310049
2021-09-sushimiso, 13038771 ,0x4c4564a1FE775D97297F9e3Dc2e762e0Ed5Dda0e
2021-12-visor,13849006,0xC9f27A50f82571C1C8423A42970613b8dBDA14ef;0x3a84aD5d16aDBE566BAA6b3DafE39Db3D5E261E5;0xF938424F7210f31dF2Aee3011291b658f872e91e
2022-01-anyswap, 14037236, 0x6b7a87899490EcE95443e979cA9485CBE7E71522;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
2022-01-qubit, 14090169, 0x20E5E35ba29dC3B540a1aee781D0814D5c77Bce6;0x17B7163cf1Dbd286E262ddc68b553D899B93f526
2022-02-buildf, 14235712, 0x5A6eBeB61A80B2a2a5e0B4D893D731358d888583;0x6e36556B3ee5Aa28Def2a8EC3DAe30eC2B208739
2022-02-sandbox, 14163041, 0x50f5474724e0Ee42D9a4e711ccFB275809Fd6d4a
2022-02-tecraspace, 14139081, 0xE38B72d6595FD3885d1D2F770aa23E94757F91a1;0xdAC17F958D2ee523a2206206994597C13D831ec7;0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D;0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2;0x420725A69E79EEffB000F98Ccd78a52369b6C5d4
2022-03-auctus, 14460635, 0xE7597F774fD0a15A617894dc39d45A28B97AFa4f;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2022-03-bacon,14326930,0xb8919522331C59f5C16bDfAA6A121a6E03A91F62;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
2022-03-compundtusd, 14266479, 0x12392F67bdf24faE0AF363c24aC620a2f67DAd86;0x0000000000085d4780B73119b644AE5ecd22b376;0x8dd5fbCe2F6a956C3022bA3663759011Dd51e73E
